thesaurus_title, metadata_identifier
"GCMD Keywords", bc1b3741-e464-5039-e044-00144f7bc0f4
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 516811d7-cc96-207a-e0440003ba8c79dd
"NASA/GCMD Earth Science Keywords", ASAC_996
"NASA/GCMD Earth Science Keywords", 200607050
"GCMD Keywords", 25c226b8-29bd-4f25-b20e-0e7088f34437
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", acda12f8-b09f-476a-b58d-6c9144495019
"Global Change Master Directory Earth Science Keywords v.5.3.8", 03cde810-1499-11dc-80b6-00188b4c0af8
"GCMD Keywords", afec4687-1f0d-4c9b-a81b-a85f349296d2
"GCMD Keywords", ea2bdabe-890c-44e7-ba75-d88d956573dd
"GCMD Keywords", f0f6721f-4254-430c-a8da-d775f178b92f
"GCMD Keywords", 5ba99d25-6f08-4ec0-967c-c268ebf248e8
"GCMD Keywords", bc1b3741-e51e-5039-e044-00144f7bc0f4
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", 516811d7-caf8-207a-e0440003ba8c79dd
"NASA/GCMD Earth Science Keywords", SIPEX_II_Trace_Metals
"NASA/GCMD Earth Science Keywords", 201516010
"Global Change Master Directory Earth Science Keywords v.5.3.8", 8b4bba30-8c15-11dc-a1c4-00188b4c0af8
"NASA/GCMD Earth Science Keywords", SIPEX_II_AUV
"NASA/GCMD Earth Science Keywords", ASAC_40_AS0405R0
"GCMD Keywords", cd659ffa-da24-4bce-8b4d-e4f7df7b129f
"GCMD Keywords", 16796b37-d3ee-4c0d-e053-08114f8c76bb
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", fba540b2-f76c-44f5-b7a6-d28ea6fd1a03
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", 516811d7-cce4-207a-e0440003ba8c79dd
"Global Change Master Directory Earth Science Keywords v.5.3.8", 8d79f1f0-125d-11dc-a108-00188b4c0af8
"GCMD Keywords", 93ca002c-b989-4f92-bc08-b2d2fa623946
"GCMD Keywords", e4d09710-ec43-7c9c-e043-08114f8c8f27
"Global Change Master Directory Earth Science Keywords v.5.3.8", 0570c470-0829-11dc-82f8-00188b4c0af8
"GCMD Keywords", a21b0325-c659-4eff-8f10-b3a7b48ef19d
"GCMD Keywords", 048efc65-d861-4e07-ac12-67e68553cf12
"GCMD Keywords", bc1b3741-e81f-5039-e044-00144f7bc0f4
"NASA/GCMD Earth Science Keywords", AAS_4333_core_XRF
"GCMD Keywords", 97136a6d-d758-4ed4-911d-9c99b39351c0
"GCMD Keywords", 1956cddf-2dd0-4456-8efc-6af4ac8adf38
"GCMD Keywords", 2d1b4632-0f13-4593-b05c-7285395d35df
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 8be275bb-6951-45cd-9dd1-0c5adffd1ec6
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 2ff50a12-9748-470e-8ad8-007059c28932
"GCMD Keywords", b68f832e-f8ae-4dbe-8e64-2a3e90a7d959
"Global Change Master Directory Earth Science Keywords v.5.3.8", d723aa60-1ad4-11dc-9e36-00188b4c0af8
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 783f9b8d-4ce2-417b-aeb1-234799dc4696
"GCMD Keywords", cf8ea7c8-5238-4635-8e69-837bdc3ffeb4
"GCMD Keywords", 80156363-bef4-4c68-99da-647295cd633f
"GCMD Keywords", a99c797f-bbb9-4f50-b978-42dfd16fb216
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", bfe74ff3-fc0a-48ce-8211-2cad27d37fc8
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", facd0d46-dd38-4662-b7b7-fc2f158e0ac6
"NASA/GCMD Earth Science Keywords", ASAC_2948_TRENZ_Stable_Isotopes
"GCMD Keywords", ff171ddd-8809-4447-85d9-7695839efccf
"GCMD Keywords", 3f7451bd-d143-420c-b052-cfb51839ab35
"NASA/GCMD Earth Science Keywords", au9604
"GCMD Keywords", b18ee22d-ff01-44ec-a50d-6183ebef6e1e
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", a3af7d60-1c2b-4fdd-bc34-ce718c434e89
"GCMD Keywords", 7973dc11-095a-4cc9-a3e3-15d414b04a43
"GCMD Keywords", 6c5ed9aa-b975-4994-b659-73e1ef203b02
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", d52d1e34-b8e2-45d4-a684-be05cd681ef1
"GCMD Keywords", f75f751d-20b1-4b17-986c-43e245c141bb
"NASA/GCMD Earth Science Keywords", AADFishDatabase
"GCMD Keywords", cd4ad38b-760f-4c2e-bd69-6c1786725f9c
"Global Change Master Directory Earth Science Keywords v.5.3.8", c7689aa0-1894-11dc-a8fb-00188b4c0af8
"GCMD Keywords", 12f90f4f-4d8d-4173-8f1c-3f37cbf56e77
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", 80dbcd5f-e473-4699-88af-1270812cc812
"GCMD Keywords", 89aa03fc-e43b-422e-92c8-01b14e805853
"GCMD Keywords", 845ec1c7-42cd-4b1f-8144-d9da1d7ca0d8
"GCMD Keywords", 8d6df759-76b6-4d12-87b1-4c054f80192e
"NASA/GCMD Keywords, Version 8.5", 480847b4-b692-4112-89ff-0dcef75e3b84
"GCMD Keywords", ed6844eb-92da-4553-b2e1-e7823d624884
"GCMD Keywords", e0802e61-c506-7319-e043-08114f8c07f5
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", f75b33b4-51b0-4290-b183-3698e152ca06
"GCMD Keywords", 2998d756-061d-4d7c-b1a2-ec59cb7c62ab
"GCMD Keywords", bc6955fd-cd47-48cf-84ba-69eb09296ecf
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 3dcda0b7-d43e-4d94-ad87-c05c6e18ddd1
"NASA/GCMD Earth Science Keywords", AIS_GEOM
"NASA/GCMD Keywords, Version 8.5", 0c54a392-c766-4df5-b428-b7e0d4096520
"NASA/GCMD Earth Science Keywords", ASAC_2201_vulnerability
"NASA/GCMD Keywords, Version 8.5", 8e9746ed-20f8-4c1b-9437-1fa0d5e53264
"NASA/GCMD Earth Science Keywords", 200304070_raw
"Global Change Master Directory Earth Science Keywords v.5.3.8", 86f1a0e0-98e4-11dc-b4d5-00188b4c0af8
"GCMD Keywords", 1be6b214-07c6-45d0-aeb0-1d20d9448591
"NASA/GCMD Keywords, Version 8.5", ae6bf482-4f8a-4501-9401-035a165c2427
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 55b6a183-e942-424e-b3bd-476dfb284fc0
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 937111f2-21e8-45e8-81d5-032a7c8b0c81
"GCMD Keywords", f8c16312-90f8-4efc-ba9d-87dd87eacc47
"GCMD Keywords", bee3696a-a07b-4b67-92da-279e9f353525
"NASA/GCMD Earth Science Keywords", ASAC_2933_field_lab_books
"GCMD Keywords", aaf2065e-72f1-4531-ab2c-78c7d3997abe
"NASA/GCMD Earth Science Keywords", ASAC_40_AS0203R0
"GCMD Keywords", bc1b3741-e502-5039-e044-00144f7bc0f4
"GCMD Keywords", 2e20a90f-bb5c-17e1-e053-08114f8c81bc
"GCMD Keywords", bc1b3741-e7b5-5039-e044-00144f7bc0f4
"GCMD Keywords", bc1b3741-e75c-5039-e044-00144f7bc0f4
"GCMD Keywords", 17de03b8-5008-490e-8a32-dbe67b71ca5e
"GCMD Keywords", acf36e3a-740a-40d8-8471-02b84925e751
"GCMD Keywords", bf2bbe76-53c1-637b-e044-00144f7bc0f4
"NASA/GCMD Earth Science Keywords", ASPECT_MS010294
"GCMD Keywords", 3db27b9c-0b65-45f4-b78a-12d508e1bc00
"GCMD Keywords", fb660217-e2f9-4a6d-9b45-a73b8a7b6625
"NASA/GCMD Earth Science Keywords", ASAC_2201_Long-term_Sediment_Metals
"GCMD Keywords", 04d2c63e-39ae-4a45-9f57-5320c77cbfef
"GCMD Keywords", a19d658d-738e-422f-82fe-6755d36eb6fd
"Global Change Master Directory Earth Science Keywords v.5.3.8", 257c99d0-07ff-11dc-92a7-00188b4c0af8
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 0d6ace11-4556-49d2-b895-1012e8258918
"GCMD Keywords", f73fb3b3-0b89-473d-b5dd-b24b7ae038ab
"Global Change Master Directory Earth Science Keywords v.5.3.8", 089f8080-c897-11dc-85f3-00188b4c0af8
"GCMD Keywords", fc299080-dbb5-43ba-9673-77305a0d9163
"GCMD Keywords", bc1b3741-e517-5039-e044-00144f7bc0f4
"GCMD Keywords", 8af5e8eb-fd08-46f4-b5c9-e19f5a592de8
"GCMD Keywords", e51b4c6d-7ab0-40a0-a0ca-8f9aa08c0e8e
"GCMD Keywords", c5b5471b-2591-2fda-e043-0200007f4995
"GCMD Keywords", 71c32569-8d53-4bba-bcfa-7674f171c646
"GCMD Keywords", 97900c55-87a0-43a1-b1b5-1e176fac8e1b
"GCMD Keywords", 91169e76-f238-4f72-a00e-e4bff31732bb
"GCMD Keywords", 79e55ebd-315a-4f82-b00f-8c4bc9e9bdd8
"GCMD Keywords", e2db68ad-91cf-55e2-e043-08114f8cb05e
"NASA/GCMD Earth Science Keywords", AAV2_seaice_BGC_2016
"Global Change Master Directory Earth Science Keywords v.5.3.8", 5723d340-4a35-11dc-85e1-00188b4c0af8
"Global Change Master Directory Earth Science Keywords v.5.3.8", 8749fec0-13c9-11dc-b213-00188b4c0af8
"NASA/GCMD Earth Science Keywords", sea_ice_extents_1980_1988
"GCMD Keywords", d32ab144-eb4a-444a-b3e0-815b4797dfb0
"Global Change Master Directory Earth Science Keywords v.5.3.8", 512f7e70-14b7-11dc-80b6-00188b4c0af8
"GCMD Keywords", a4d5c05c-8cf7-4da8-95a3-dda48ca2208d
"GCMD Keywords", 65933fc8-cbd0-48b9-b89a-ab10d98171ed
"GCMD Keywords", ce3411d0-245b-4c5c-94d6-af2d71ebff92
"NASA/GCMD Earth Science Keywords", AAS_4102_Audio2013
"GCMD Keywords", 0bf036b8-5665-430c-95d2-258f4927972b
"GCMD Keywords", 14b38c67-4d8f-4880-9aed-55461b9a9ed6
"GCMD Keywords", d92dcaeb-37a2-41b0-b26d-8a9a8722b947
"NASA/GCMD Earth Science Keywords", AAS_4096_AM06_ApRES
"GCMD Keywords", bc1b3741-e460-5039-e044-00144f7bc0f4
"GCMD Keywords", e81f1149-b215-7408-e043-08114f8c1b34
"Global Change Master Directory Earth Science Keywords v.5.3.8", a60467b0-25e4-11dc-9247-00188b4c0af8
"GCMD Keywords", 146ada8f-f8e3-491b-ba8b-b9b5be1f5219
"GCMD Keywords", bc1b3741-e736-5039-e044-00144f7bc0f4
"GCMD Keywords", 493f2b2e-1af6-491d-b8ae-420cfa9c83e0
"GCMD Keywords", 66b0318f-86b7-4863-80c5-5be2610f49f8
"NASA/GCMD Earth Science Keywords", AAS_4088_Adelie_occupancy_Balaena
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 0e4fc7ca-0181-49b0-b14d-414d2246cfad
"GCMD Keywords", f683a4e1-c94a-46b4-b235-9731ffbf79ed
"Global Change Master Directory Earth Science Keywords v.5.3.8", e2772410-e4b3-11dc-9b6b-00188b4c0af8
"GCMD Keywords", 660c0782-7def-4f00-930d-768ee282a27b
"NASA/GCMD Earth Science Keywords", ASAC_2683_PAR_Kerguelen2006
"Global Change Master Directory Earth Science Keywords v.5.3.8", 1e3326d0-2055-11dc-ba71-00188b4c0af8
"NASA/GCMD Earth Science Keywords", ASAC_608
"GCMD Keywords", 1951d9e7-c873-4766-8c19-ac786c83c6ee
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 8.1", 7ab491d2-9507-428c-aed1-091d2aaed521
"NASA/GCMD Earth Science Keywords", IMOS_11068
"GCMD Keywords", 9a68c7d1-ced6-4ba7-9c7e-b7a0375b3f8c
"Global Change Master Directory Earth Science Keywords v.5.3.8", 36499200-9501-11dd-928c-00188b4c0af8
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 9b19c70b-46f5-42df-ba40-cc0635146176
"NASA/GCMD Keywords, Version 8.5", 44e47376-8627-4daa-a49a-7c2d31294537
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", d4d5b871-f71a-4f2c-9d95-205a10c4d274
"Global Change Master Directory Earth Science Keywords v.5.3.8", ad32b570-e351-11dc-97b4-00188b4c0af8
"GCMD Keywords", 25575435-e443-4eb9-a164-7157c1c0ef26
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", 7f565d10-09cc-4d52-b4f0-6066eed623bf
"Global Change Master Directory Earth Science Keywords v.5.3.8", 07daac90-bda4-11dc-b5a4-00188b4c0af8
"GCMD Keywords", 76969110-a817-4d00-bf14-29aac0c37820
"GCMD Keywords", 8789bbba-99af-411d-b8e5-c1b8447b67b6
"GCMD Keywords", a048b5f9-1b6a-4078-918c-2d943e90d84c
"GCMD Keywords", 081f208f-1a23-42f5-9462-0e72bd3ab067
"GCMD Keywords", 665d3b81-d8df-4f0f-9e0f-b461f19e7fa2
"GCMD Keywords", 1f46f9d3-50fd-482b-83a4-1da709c6b4ba
"GCMD Keywords", 76fbffae-2877-4420-be57-3d3be50ee320
"GCMD Keywords", 72c9e784-3c44-4b8e-aad7-d6e3746f384e
"NASA/GCMD Earth Science Keywords", AADC-00032
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 0e8ae6e4-ccc7-4fbb-9d39-76cb888e4882
"GCMD Keywords", 126770df-558f-4910-b824-961d8f9f5640
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 3999f117-b50e-4b5e-92e9-82ed04a736d5
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", 67fef6b1-1540-445f-a995-71abcefeb99b
"GCMD Keywords", 19a40b1e-9fe0-402b-85c2-25c770843d56
"NASA/GCMD Earth Science Keywords", vest_lake_bathy_yr_gis
"NASA/GCMD Earth Science Keywords", Stillwell_Hills_Tide_Gauges
"GCMD Keywords", 6bd2f8ea-cb9c-4c3a-a53a-87a034496718
"GCMD Keywords", abff99d5-0dd7-4822-b866-4173723989da
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 4beec9c6-051a-4bbb-9c4d-47cfa66fc48c
"GCMD Keywords", 2a26dcf3-8ef4-40f7-bebf-18087a902662
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", 516811d7-cb08-207a-e0440003ba8c79dd
"GCMD Keywords", 772d90eb-00b3-4a90-b36a-f08198afe2dd
"GCMD Keywords", 145a0015-3b88-23f3-e053-08114f8c079d
"GCMD Keywords", bc1b3741-e706-5039-e044-00144f7bc0f4
"Global Change Master Directory Earth Science Keywords v.5.3.8", f86b7c50-4556-11dc-8f6c-00188b4c0af8
"NASA/GCMD Earth Science Keywords", ASAC_829
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version  5.3.8", 21193589-819b-4e22-b445-174449a567e2
"GCMD Keywords", 5e9ea5c7-f86d-425a-b641-7768c3896e6f
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", 516811d7-cb10-207a-e0440003ba8c79dd
"GCMD Keywords", f28d3ccb-a7b6-43bf-93fb-c32935722755
"Global Change Master Directory Earth Science Keywords v.5.3.8", 8a9db950-3033-11dc-95ce-00188b4c0af8
"NASA/GCMD Earth Science Keywords", AAS_4124_RSTS_DemersalFish_Extract
"NASA/GCMD Earth Science Keywords", SOE_elephant_seals
"GCMD Keywords", 3b36edac-aeaa-4ed3-873e-6b19b6f31244
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", 80801dfa-5544-4528-94eb-a2bf904858c3
"NASA/GCMD Earth Science Keywords", Biology_Log_Wilkes_1968
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", 01be11b1-d69b-453b-b32b-b4e5b26303e3
"GCMD Keywords", f7ea9fdd-7e85-4f8a-aa3c-e0f252fcca73
"GCMD Keywords", 45a47161-dd29-4660-a46f-cc7577fe61a3
"NASA/GCMD Earth Science Keywords", ASAC_2581
"GCMD Keywords", b5a8d8b4-dd0f-4d13-bce1-805fd4a7ff53
"GCMD Keywords", 842d8e6f-1c23-4879-991c-e0ae607e68cd
"GCMD Keywords", 10a77ae3-4237-44de-9097-6ca773e06b5a
"GCMD Keywords", 6287f485-7eb7-455c-af3f-d68c965bc0fd
"GCMD Keywords", 330dffed-cf95-4e5d-8692-430619c580b6
"GCMD Keywords", bc6003e4-f197-4d26-8a84-e3eea3746aba
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", dba353fd-f60b-43c8-84e5-c2534681f8f4
"GCMD Keywords", c2ca7518-472d-4b6d-e044-00144f7bc0f4
"GCMD Keywords", c4852308-d021-52a0-e043-0200007f9b6a
"GCMD Keywords", deffd489-e58c-4b83-b79a-8656e8e6d460
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", c683296a-65d2-4258-87e1-a90d50323610
"NASA/GCMD Earth Science Keywords", BANGSS_Ocean
"GCMD Keywords", 14be5a96-5b4f-3411-e053-08114f8cc460
"NASA/GCMD Earth Science Keywords", 201011050
"GCMD Keywords", bc1b3741-e1ba-5039-e044-00144f7bc0f4
"Global Change Master Directory Earth Science Keywords v.5.3.8", ac7e6f90-b8de-11dc-bfcd-00188b4c0af8
"GCMD Keywords", 55e9b292-f779-4195-9990-4c575e386d4b
"NASA/GCMD Earth Science Keywords", 201011002
"Global Change Master Directory Earth Science Keywords v.5.3.8", f3814500-1acf-11dc-9e36-00188b4c0af8
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords Version 5.3.8", 516811d7-cd71-207a-e0440003ba8c79dd
"NASA/GCMD Earth Science Keywords", dam.coastalcoms.com:7
"NASA/GCMD Keywords, Version 8.5", 26b5f988-e52b-4040-9547-5603185e3c18
"Global Change Master Directory Earth Science Keywords v.5.3.8", 7d0f0bb0-850d-11dd-91d8-00188b4c0af8
"NASA/GCMD Earth Science Keywords", fast_ice_adelie
"GCMD Keywords", f8ec27be-68f4-2875-e043-08114f8c8fe9
"NASA/GCMD Earth Science Keywords", ASPECT_AF120293
"GCMD Keywords", 1ecce1bc-eb0e-4b8c-e053-08114f8cd1a0
"GCMD Keywords", 908bc129-7dac-408a-9f00-714c68c79f11
"NASA/GCMD Earth Science Keywords", ASAC_40_AS0910R4
"NASA/GCMD Earth Science Keywords", ASAC_2210_Honours_Cadman
"GCMD Keywords", dad8102b-01e5-4445-98e7-9400dfa1b889
"GCMD Keywords", ea6046a9-510e-4ad8-9071-1250dad8be8b
"NASA/GCMD Earth Science Keywords", ASAC_2122-2
"NASA/GCMD Earth Science Keywords", Seawater-salinity-Casey03-04
"GCMD Keywords", ee00d94d-2cf2-4214-9afb-a9b9375cf70f
"GCMD Keywords", 5600db05-54f5-45fb-8c02-2c44d8936c28
"GCMD Keywords", 105dc69b-a00f-0eba-e053-08114f8c131d
"GCMD Keywords", 308a1d6c-d48a-4157-bb2f-386f2c51de5e
"GCMD Keywords", 4733de3e-a7a6-48d1-9bc6-bcc76d826af3
"Global Change Master Directory Earth Science Keywords v.5.3.8", f9cd7c00-0050-11dd-bea0-00188b4c0af8
"GCMD Keywords", 7d937302-209e-45ba-be5a-41c26f4c161f
"GCMD Keywords", 8914e963-ee66-40f1-a59b-9327101ad1a4
"GCMD Keywords", d1713ce8-15f5-427b-a767-1f225b547dc5
"NASA/GCMD Earth Science Keywords", ASAC_2960
"NASA/GCMD Earth Science Keywords", ASAC_2388_alb_foraging
